序列,character,GBK,Unicode,华夏码编码,voice_code,1,2,3
,亇,817D,4E87,,m,f,i,i
,予,D3E8,4E88,,y,a,l,l
,争,D5F9,4E89,,z,f,w,w
,亊,817E,4E8A,,s,a,f,f
,事,CAC2,4E8B,,s,h,k,k
,二,B6FE,4E8C,,e,h,,
,亍,D8A1,4E8D,,c,h,i,i
,于,D3DA,4E8E,,y,h,i,i
,亏,BFF7,4E8F,,k,h,z,z
,亐,8180,4E90,,y,h,z,z
,云,D4C6,4E91,,y,h,a,a
,互,BBA5,4E92,,h,w,w,w
,亓,D8C1,4E93,,q,h,o,o
,五,CEE5,4E94,,w,i,w,w
,井,BEAE,4E95,,j,h,o,o
,亖,8181,4E96,,s,h,h,h
,亗,8182,4E97,,s,s,h,h
,亘,D8A8,4E98,,g,h,r,r
,亙,8183,4E99,,g,i,a,a
,亚,D1C7,4E9A,,y,i,i,i
,些,D0A9,4E9B,,x,i,f,f
,些,D0A9,4E9B,,s,i,f,f
,亜,8184,4E9C,,y,h,k,k
,亝,8185,4E9D,,q,a,a,a
,亝,8185,4E9D,,z,a,a,a
,亞,8186,4E9E,,y,i,w,w
,亟,D8BD,4E9F,,j,l,k,k
,亠,D9EF,4EA0,,t,a,,
,亡,CDF6,4EA1,,w,a,z,z
,亢,BFBA,4EA2,,k,a,f,f
,亣,8187,4EA3,,d,a,o,o
,交,BDBB,4EA4,,j,a,v,v
,亥,BAA5,4EA5,,h,a,f,f
,亦,D2E0,4EA6,,y,a,o,o
,产,B2FA,4EA7,,c,a,v,v
,亨,BAE0,4EA8,,h,a,k,k
,亨,BAE0,4EA8,,p,a,k,k
,亩,C4B6,4EA9,,m,a,l,l
,亪,8188,4EAA,,y,a,o,o
,享,CFED,4EAB,,x,a,k,k
,京,BEA9,4EAC,,j,a,k,k
,亭,CDA4,4EAD,,t,a,k,k
,亮,C1C1,4EAE,,l,a,k,k
,亯,8189,4EAF,,x,a,k,k
,亰,818A,4EB0,,j,a,r,r
,亱,818B,4EB1,,y,a,r,r
,亲,C7D7,4EB2,,q,a,v,v
,亳,D9F1,4EB3,,b,a,k,k
,亴,818C,4EB4,,y,a,k,k
,亵,D9F4,4EB5,,x,a,t,t
,亶,818D,4EB6,,d,a,l,l
,亷,818E,4EB7,,l,a,v,v
,亸,818F,4EB8,,d,a,v,v
,亹,8190,4EB9,,w,a,o,o
,亹,8190,4EB9,,m,a,o,o
,人,C8CB,4EBA,,r,r,,
,亻,D8E9,4EBB,,r,r,,
,亼,8191,4EBC,,j,r,h,h
,亽,8192,4EBD,,j,r,d,d
,亾,8193,4EBE,,w,r,z,z
,亿,D2DA,4EBF,,y,r,z,z
,什,CAB2,4EC0,,s,r,i,i
,仁,C8CA,4EC1,,r,r,h,h
,仂,D8EC,4EC2,,l,r,l,l
,仃,D8EA,4EC3,,d,r,i,i
,仄,D8C6,4EC4,,z,c,r,r
,仅,BDF6,4EC5,,j,r,u,u
,仆,C6CD,4EC6,,p,r,x,x
,仇,B3F0,4EC7,,c,r,f,f
,仇,B3F0,4EC7,,q,r,f,f
,仈,8194,4EC8,,b,r,v,v
,仉,D8EB,4EC9,,z,r,f,f
,今,BDF1,4ECA,,j,r,a,a
,介,BDE9,4ECB,,j,r,o,o
,仌,8195,4ECC,,b,r,r,r
,仍,C8D4,4ECD,,r,r,f,f
,从,B4D3,4ECE,,c,r,r,r
,从,B4D3,4ECE,,z,r,r,r
,仏,8196,4ECF,,f,r,a,a
,仐,8197,4ED0,,j,r,i,i
,仑,C2D8,4ED1,,l,r,f,f
,仒,8198,4ED2,,b,r,d,d
,仒,8198,4ED2,,e,r,d,d
,仓,B2D6,4ED3,,c,r,e,e
,仔,D7D0,4ED4,,z,r,z,z
,仕,CACB,4ED5,,s,r,t,t
,他,CBFB,4ED6,,t,r,y,y
,仗,D5CC,4ED7,,z,r,o,o
,付,B8B6,4ED8,,f,r,c,c
,仙,CFC9,4ED9,,x,r,s,s
,仚,8199,4EDA,,x,r,s,s
,仛,819A,4EDB,,t,r,o,o
,仛,819A,4EDB,,c,r,o,o
,仛,819A,4EDB,,d,r,o,o
,仜,819B,4EDC,,h,r,g,g
,仝,D9DA,4EDD,,t,r,g,g
,仞,D8F0,4EDE,,r,r,d,d
,仟,C7AA,4EDF,,q,r,o,o
,仠,819C,4EE0,,g,r,h,h
,仠,819C,4EE0,,h,r,h,h
,仡,D8EE,4EE1,,y,r,o,o
,仡,D8EE,4EE1,,g,r,o,o
,仢,819D,4EE2,,b,r,f,f
,代,B4FA,4EE3,,d,r,w,w
,令,C1EE,4EE4,,l,r,a,a
,以,D2D4,4EE5,,y,a,r,r
,仦,819E,4EE6,,c,r,x,x
,仧,819F,4EE7,,c,i,h,h
,仧,819F,4EE7,,z,i,h,h
,仨,D8ED,4EE8,,s,r,h,h
,仩,81A0,4EE9,,c,r,i,i
,仪,D2C7,4EEA,,y,r,v,v
,仫,D8EF,4EEB,,m,r,f,f
,们,C3C7,4EEC,,m,r,m,m
,仭,81A1,4EED,,r,r,d,d
,仮,81A2,4EEE,,f,r,p,p
,仯,81A3,4EEF,,c,r,x,x
,仯,81A3,4EEF,,m,r,x,x
,仰,D1F6,4EF0,,y,r,f,f
,仰,D1F6,4EF0,,a,r,f,f
,仱,81A4,4EF1,,q,r,r,r
,仲,D6D9,4EF2,,z,r,k,k
,仳,D8F2,4EF3,,p,r,w,w
,仴,81A5,4EF4,,w,r,y,y
,仵,D8F5,4EF5,,w,r,o,o
,件,BCFE,4EF6,,j,r,n,n
,价,BCDB,4EF7,,j,r,r,r
,仸,81A6,4EF8,,y,r,p,p
,仸,81A6,4EF8,,f,r,p,p
,仹,81A7,4EF9,,f,r,h,h
,仺,81A8,4EFA,,c,r,w,w
,任,C8CE,4EFB,,r,r,p,p
,仼,81A9,4EFC,,w,r,w,w
,份,B7DD,4EFD,,f,r,v,v
,份,B7DD,4EFD,,b,r,v,v
,仾,81AA,4EFE,,d,r,w,w
,仿,B7C2,4EFF,,f,r,f,f
,伀,81AB,4F00,,z,r,v,v
,企,C6F3,4F01,,q,r,i,i
,伂,81AC,4F02,,p,r,h,h
,伃,81AD,4F03,,y,r,a,a
,伄,81AE,4F04,,d,r,e,e
,伅,81AF,4F05,,d,r,h,h
,伆,81B0,4F06,,w,r,f,f
,伇,81B1,4F07,,y,r,f,f
,伈,81B2,4F08,,x,r,x,x
,伉,D8F8,4F09,,k,r,a,a
,伊,D2C1,4F0A,,y,r,w,w
,伋,81B3,4F0B,,j,r,j,j
,伌,81B4,4F0C,,a,r,c,c
,伍,CEE9,4F0D,,w,r,i,i
,伎,BCBF,4F0E,,j,r,i,i
,伎,BCBF,4F0E,,q,r,i,i
,伏,B7FC,4F0F,,f,r,r,r
,伐,B7A5,4F10,,f,r,w,w
,休,D0DD,4F11,,x,r,m,m
,伒,81B5,4F12,,j,r,j,j
,伓,81B6,4F13,,p,r,o,o
,伔,81B7,4F14,,d,r,b,b
,伕,81B8,4F15,,f,r,h,h
,伖,81B9,4F16,,t,r,o,o
,众,D6DA,4F17,,z,r,r,r
,优,D3C5,4F18,,y,r,u,u
,伙,BBEF,4F19,,h,r,h,h
,会,BBE1,4F1A,,h,r,h,h
,会,BBE1,4F1A,,k,r,h,h
,伛,D8F1,4F1B,,y,r,o,o
,伜,81BA,4F1C,,c,r,f,f
,伝,81BB,4F1D,,y,r,h,h
,伞,C9A1,4F1E,,s,r,v,v
,伟,CEB0,4F1F,,w,r,h,h
,传,B4AB,4F20,,c,r,h,h
,传,B4AB,4F20,,z,r,h,h
,伡,81BC,4F21,,c,r,w,w
,伡,81BC,4F21,,j,r,w,w
,伢,D8F3,4F22,,y,r,w,w
,伣,81BD,4F23,,q,r,j,j
,伤,C9CB,4F24,,s,r,o,o
,伥,D8F6,4F25,,c,r,o,o
,伦,C2D7,4F26,,l,r,r,r
,伧,D8F7,4F27,,c,r,r,r
,伨,81BE,4F28,,x,r,f,f
,伩,81BF,4F29,,x,r,a,a
,伪,CEB1,4F2A,,w,r,d,d
,伫,D8F9,4F2B,,z,r,b,b
,伬,81C0,4F2C,,c,r,s,s
,伭,81C1,4F2D,,x,r,a,a
,伮,81C2,4F2E,,n,r,n,n
,伯,B2AE,4F2F,,b,r,r,r
,估,B9C0,4F30,,g,r,i,i
,伱,81C3,4F31,,n,r,r,r
,伲,D9A3,4F32,,n,r,s,s
,伳,81C4,4F33,,x,r,c,c
,伴,B0E9,4F34,,b,r,v,v
,伵,81C5,4F35,,x,r,l,l
,伶,C1E6,4F36,,l,r,r,r
,伷,81C6,4F37,,z,r,l,l
,伸,C9EC,4F38,,s,r,r,r
,伹,81C7,4F39,,q,r,q,q
,伺,CBC5,4F3A,,s,r,w,w
,伺,CBC5,4F3A,,c,r,w,w
,伻,81C8,4F3B,,p,r,h,h
,似,CBC6,4F3C,,s,r,a,a
,伽,D9A4,4F3D,,q,r,l,l
,伽,D9A4,4F3D,,j,r,l,l
,伽,D9A4,4F3D,,g,r,l,l
,伾,81C9,4F3E,,p,r,o,o
,伿,81CA,4F3F,,z,r,k,k
,佀,81CB,4F40,,s,r,i,i
,佁,81CC,4F41,,y,r,a,a
,佁,81CC,4F41,,c,r,a,a
,佂,81CD,4F42,,z,r,i,i
,佃,B5E8,4F43,,d,r,l,l
,佃,B5E8,4F43,,t,r,l,l
,佄,81CE,4F44,,h,r,c,c
,佄,81CE,4F44,,g,r,c,c
,佅,81CF,4F45,,m,r,h,h
,但,B5AB,4F46,,d,r,r,r
,佇,81D0,4F47,,z,r,b,b
,佈,81D1,4F48,,b,r,o,o
,佉,81D2,4F49,,q,r,t,t
,佊,81D3,4F4A,,b,r,f,f
,佋,81D4,4F4B,,z,r,d,d
,佋,81D4,4F4B,,s,r,d,d
,佌,81D5,4F4C,,c,r,i,i
,位,CEBB,4F4D,,w,r,a,a
,低,B5CD,4F4E,,d,r,f,f
,住,D7A1,4F4F,,z,r,d,d
,佐,D7F4,4F50,,z,r,o,o
,佑,D3D3,4F51,,y,r,o,o
,佒,81D6,4F52,,y,r,l,l
,体,CCE5,4F53,,t,r,m,m
,佔,81D7,4F54,,z,r,i,i
,佔,81D7,4F54,,d,r,i,i
,何,BACE,4F55,,h,r,k,k
,佖,81D8,4F56,,b,r,a,a
,佗,D9A2,4F57,,t,r,b,b
,佘,D9DC,4F58,,s,r,h,h
,余,D3E0,4F59,,y,r,h,h
,佚,D8FD,4F5A,,y,r,o,o
,佚,D8FD,4F5A,,d,r,o,o
,佛,B7F0,4F5B,,f,r,e,e
,佛,B7F0,4F5B,,b,r,e,e
,作,D7F7,4F5C,,z,r,o,o
,佝,D8FE,4F5D,,g,r,f,f
,佝,D8FE,4F5D,,k,r,f,f
,佞,D8FA,4F5E,,n,r,h,h
,佟,D9A1,4F5F,,t,r,u,u
,你,C4E3,4F60,,n,r,f,f
,佡,81D9,4F61,,x,r,r,r
,佢,81DA,4F62,,q,r,h,h
,佣,D3B6,4F63,,y,r,y,y
,佤,D8F4,4F64,,w,r,w,w
,佥,D9DD,4F65,,q,r,h,h
,佦,81DB,4F66,,s,r,o,o
,佧,D8FB,4F67,,k,r,i,i
,佨,81DC,4F68,,b,r,f,f
,佩,C5E5,4F69,,p,r,f,f
,佪,81DD,4F6A,,h,r,l,l
,佫,81DE,4F6B,,g,r,u,u
,佬,C0D0,4F6C,,l,r,t,t
,佭,81DF,4F6D,,x,r,u,u
,佮,81E0,4F6E,,g,r,r,r
,佯,D1F0,4F6F,,y,r,v,v
,佰,B0DB,4F70,,b,r,h,h
,佱,81E1,4F71,,f,r,h,h
,佲,81E2,4F72,,m,r,f,f
,佳,BCD1,4F73,,j,r,t,t
,佴,D9A6,4F74,,e,r,e,e
,佴,D9A6,4F74,,n,r,e,e
,併,81E3,4F75,,b,r,v,v
,佶,D9A5,4F76,,j,r,t,t
,佷,81E4,4F77,,h,r,w,w
,佸,81E5,4F78,,h,r,o,o
,佹,81E6,4F79,,g,r,f,f
,佺,81E7,4F7A,,q,r,r,r
,佻,D9AC,4F7B,,t,r,p,p
,佼,D9AE,4F7C,,j,r,a,a
,佽,81E8,4F7D,,c,r,d,d
,佾,D9AB,4F7E,,y,r,v,v
,使,CAB9,4F7F,,s,r,h,h
,侀,81E9,4F80,,x,r,h,h
,侁,81EA,4F81,,s,r,p,p
,侂,81EB,4F82,,t,r,g,g
,侃,D9A9,4F83,,k,r,k,k
,侄,D6B6,4F84,,z,r,w,w
,侅,81EC,4F85,,g,r,a,a
,來,81ED,4F86,,l,h,r,r
,侇,81EE,4F87,,y,r,h,h
,侈,B3DE,4F88,,c,r,f,f
,侉,D9A8,4F89,,k,r,r,r
,侊,81EF,4F8A,,g,r,v,v
,例,C0FD,4F8B,,l,r,o,o
,侌,81F0,4F8C,,y,r,a,a
,侍,CACC,4F8D,,s,r,t,t
,侎,81F1,4F8E,,m,r,v,v
,侏,D9AA,4F8F,,z,r,o,o
,侐,81F2,4F90,,x,r,p,p
,侑,D9A7,4F91,,y,r,o,o
,侒,81F3,4F92,,a,r,b,b
,侓,81F4,4F93,,l,r,w,w
,侔,D9B0,4F94,,m,r,a,a
,侕,81F5,4F95,,e,r,o,o
,侖,81F6,4F96,,l,r,h,h
,侗,B6B1,4F97,,d,r,l,l
,侗,B6B1,4F97,,t,r,l,l
,侘,81F7,4F98,,c,r,b,b
,侙,81F8,4F99,,c,r,h,h
,侚,81F9,4F9A,,x,r,f,f
,供,B9A9,4F9B,,g,r,c,c
,侜,81FA,4F9C,,z,r,p,p
,依,D2C0,4F9D,,y,r,a,a
,侞,81FB,4F9E,,r,r,n,n
,侟,81FC,4F9F,,c,r,o,o
,侠,CFC0,4FA0,,x,r,h,h
,価,81FD,4FA1,,s,r,u,u
,侢,81FE,4FA2,,d,r,h,h
,侣,C2C2,4FA3,,l,r,k,k
,侤,8240,4FA4,,t,r,t,t
,侥,BDC4,4FA5,,j,r,w,w
,侥,BDC4,4FA5,,y,r,w,w
,侦,D5EC,4FA6,,z,r,i,i
,侧,B2E0,4FA7,,c,r,b,b
,侧,B2E0,4FA7,,z,r,b,b
,侨,C7C8,4FA8,,q,r,p,p
,侩,BFEB,4FA9,,k,r,r,r
,侪,D9AD,4FAA,,c,r,a,a
,侫,8241,4FAB,,n,r,a,a
,侬,D9AF,4FAC,,n,r,b,b
,侭,8242,4FAD,,j,r,s,s
,侮,CEEA,4FAE,,w,r,o,o
,侯,BAEE,4FAF,,h,r,w,w
,侰,8243,4FB0,,j,r,w,w
,侱,8244,4FB1,,c,r,k,k
,侱,8244,4FB1,,t,r,k,k
,侲,8245,4FB2,,z,r,c,c
,侳,8246,4FB3,,z,r,r,r
,侴,8247,4FB4,,h,r,w,w
,侵,C7D6,4FB5,,q,r,w,w
,侶,8248,4FB6,,l,r,k,k
,侷,8249,4FB7,,j,r,s,s
,侸,824A,4FB8,,s,r,h,h
,侸,824A,4FB8,,d,r,h,h
,侹,824B,4FB9,,t,r,p,p
,侺,824C,4FBA,,s,r,s,s
,侻,824D,4FBB,,t,r,v,v
,侼,824E,4FBC,,b,r,i,i
,侽,824F,4FBD,,n,r,l,l
,侾,8250,4FBE,,x,r,t,t
,便,B1E3,4FBF,,b,r,h,h
,便,B1E3,4FBF,,p,r,h,h
,俀,8251,4FC0,,t,r,p,p
,俁,8252,4FC1,,y,r,k,k
,係,8253,4FC2,,x,r,p,p
,促,B4D9,4FC3,,c,r,k,k
,俄,B6ED,4FC4,,e,r,p,p
,俅,D9B4,4FC5,,q,r,i,i
,俆,8254,4FC6,,x,r,r,r
,俇,8255,4FC7,,g,r,q,q
,俈,8256,4FC8,,k,r,p,p
,俉,8257,4FC9,,w,r,i,i
,俊,BFA1,4FCA,,j,r,a,a
,俋,8258,4FCB,,y,r,k,k
,俌,8259,4FCC,,f,r,h,h
,俍,825A,4FCD,,l,r,a,a
,俎,D9DE,4FCE,,z,r,r,r
,俏,C7CE,4FCF,,q,r,v,v
,俏,C7CE,4FCF,,x,r,v,v
,俐,C0FE,4FD0,,l,r,h,h
,俑,D9B8,4FD1,,y,r,a,a
,俒,825B,4FD2,,h,r,b,b
,俓,825C,4FD3,,j,r,w,w
,俔,825D,4FD4,,q,r,j,j
,俕,825E,4FD5,,s,r,b,b
,俖,825F,4FD6,,p,r,o,o
,俗,CBD7,4FD7,,s,r,v,v
,俘,B7FD,4FD8,,f,r,p,p
,俙,8260,4FD9,,x,r,v,v
,俚,D9B5,4FDA,,l,r,r,r
,俛,8261,4FDB,,f,r,f,f
,俜,D9B7,4FDC,,p,r,l,l
,保,B1A3,4FDD,,b,r,k,k
,俞,D3E1,4FDE,,y,r,h,h
,俞,D3E1,4FDE,,s,r,h,h
,俟,D9B9,4FDF,,s,r,a,a
,俟,D9B9,4FDF,,q,r,a,a
,俠,8262,4FE0,,x,r,h,h
,信,D0C5,4FE1,,x,r,a,a
,信,D0C5,4FE1,,s,r,a,a
,俢,8263,4FE2,,x,r,u,u
,俣,D9B6,4FE3,,y,r,k,k
,俤,8264,4FE4,,d,r,v,v
,俥,8265,4FE5,,c,r,h,h
,俥,8265,4FE5,,j,r,h,h
,俦,D9B1,4FE6,,c,r,h,h
,俧,8266,4FE7,,z,r,t,t
,俨,D9B2,4FE8,,y,r,i,i
,俩,C1A9,4FE9,,l,r,h,h
,俪,D9B3,4FEA,,l,r,h,h
,俫,8267,4FEB,,l,r,a,a
,俬,8268,4FEC,,s,r,h,h
,俭,BCF3,4FED,,j,r,r,r
,修,D0DE,4FEE,,x,r,i,i
,俯,B8A9,4FEF,,f,r,g,g
,俰,8269,4FF0,,h,r,h,h
,俱,BEE3,4FF1,,j,r,q,q
,俲,826A,4FF2,,x,r,a,a
,俳,D9BD,4FF3,,p,r,i,i
,俴,826B,4FF4,,j,r,w,w
,俵,826C,4FF5,,b,r,h,h
,俶,826D,4FF6,,c,r,i,i
,俶,826D,4FF6,,t,r,i,i
,俷,826E,4FF7,,f,r,y,y
,俸,D9BA,4FF8,,f,r,h,h
,俹,826F,4FF9,,y,r,i,i
,俺,B0B3,4FFA,,a,r,r,r
,俻,8270,4FFB,,b,r,u,u
,俼,8271,4FFC,,y,r,a,a
,俽,8272,4FFD,,x,r,j,j
,俾,D9C2,4FFE,,b,r,r,r
,俿,8273,4FFF,,h,r,i,i
,俿,8273,4FFF,,c,r,i,i
,倀,8274,5000,,c,r,i,i
,倁,8275,5001,,z,r,o,o
,倂,8276,5002,,b,r,o,o
,倃,8277,5003,,j,r,u,u
,倄,8278,5004,,y,r,v,v
,倅,8279,5005,,c,r,a,a
,倅,8279,5005,,z,r,a,a
,倆,827A,5006,,l,r,h,h
,倇,827B,5007,,w,r,b,b
,倈,827C,5008,,l,r,h,h
,倉,827D,5009,,c,r,a,a
,倊,827E,500A,,z,r,v,v
,個,8280,500B,,g,r,l,l
,倌,D9C4,500C,,g,r,b,b
,倍,B1B6,500D,,b,r,a,a
,倎,8281,500E,,t,r,l,l
,倏,D9BF,500F,,s,r,i,i
,倐,8282,5010,,s,r,i,i
,們,8283,5011,,m,r,m,m
,倒,B5B9,5012,,d,r,w,w
,倓,8284,5013,,t,r,h,h
,倔,BEF3,5014,,j,r,s,s
,倕,8285,5015,,c,r,o,o
,倖,8286,5016,,x,r,t,t
,倗,8287,5017,,p,r,y,y
,倘,CCC8,5018,,t,r,v,v
,倘,CCC8,5018,,c,r,v,v
,候,BAF2,5019,,h,r,l,l
,倚,D2D0,501A,,y,r,r,r
,倛,8288,501B,,q,r,c,c
,倜,D9C3,501C,,t,r,f,f
,倝,8289,501D,,g,i,r,r
,倞,828A,501E,,l,r,a,a
,倞,828A,501E,,j,r,a,a
,借,BDE8,501F,,j,r,c,c
,倠,828B,5020,,s,r,r,r
,倡,B3AB,5021,,c,r,r,r
,倢,828C,5022,,j,r,w,w
,倣,828D,5023,,f,r,f,f
,値,828E,5024,,z,r,i,i
,倥,D9C5,5025,,k,r,b,b
,倦,BEEB,5026,,j,r,v,v
,倧,828F,5027,,z,r,b,b
,倨,D9C6,5028,,j,r,s,s
,倩,D9BB,5029,,q,r,h,h
,倪,C4DF,502A,,n,r,o,o
,倫,8290,502B,,l,r,r,r
,倬,D9BE,502C,,z,r,i,i
,倭,D9C1,502D,,w,r,h,h
,倮,D9C0,502E,,l,r,r,r
,倯,8291,502F,,s,r,m,m
,倰,8292,5030,,l,r,t,t
,倱,8293,5031,,h,r,r,r
,倲,8294,5032,,d,r,h,h
,倳,8295,5033,,z,r,h,h
,倴,8296,5034,,b,r,r,r
,倵,8297,5035,,w,r,h,h
,倶,8298,5036,,j,r,m,m
,倷,8299,5037,,n,r,r,r
,倸,829A,5038,,c,r,p,p
,倹,829B,5039,,j,r,r,r
,债,D5AE,503A,,z,r,h,h
,倻,829C,503B,,y,r,e,e
,值,D6B5,503C,,z,r,i,i
,倽,829D,503D,,s,r,r,r
,倾,C7E3,503E,,q,r,w,w
,倿,829E,503F,,n,r,a,a
,偀,829F,5040,,y,r,c,c
,偁,82A0,5041,,c,r,p,p
,偂,82A1,5042,,q,r,v,v
,偃,D9C8,5043,,y,r,h,h
,偄,82A2,5044,,r,r,o,o
,偅,82A3,5045,,z,r,o,o
,偅,82A3,5045,,t,r,o,o
,偆,82A4,5046,,c,r,h,h
,假,BCD9,5047,,j,r,e,e
,偈,D9CA,5048,,j,r,r,r
,偉,82A5,5049,,w,r,l,l
,偊,82A6,504A,,y,r,p,p
,偋,82A7,504B,,b,r,s,s
