序列,character,GBK,Unicode,华夏码编码,voice_code,1,2,3
,偌,D9BC,504C,,r,r,c,c
,偍,82A8,504D,,t,r,r,r
,偎,D9CB,504E,,w,r,l,l
,偏,C6AB,504F,,p,r,h,h
,偐,82A9,5050,,y,r,a,a
,偑,82AA,5051,,f,r,f,f
,偒,82AB,5052,,t,r,r,r
,偒,82AB,5052,,d,r,r,r
,偓,82AC,5053,,w,r,s,s
,偔,82AD,5054,,e,r,k,k
,偕,D9C9,5055,,x,r,w,w
,偖,82AE,5056,,c,r,t,t
,偗,82AF,5057,,s,r,x,x
,偘,82B0,5058,,k,r,k,k
,偙,82B1,5059,,d,r,a,a
,做,D7F6,505A,,z,r,i,i
,偛,82B2,505B,,c,r,o,o
,停,CDA3,505C,,t,r,a,a
,偝,82B3,505D,,b,r,i,i
,偞,82B4,505E,,x,r,c,c
,偟,82B5,505F,,h,r,r,r
,偠,82B6,5060,,y,r,u,u
,偡,82B7,5061,,z,r,c,c
,偢,82B8,5062,,c,r,h,h
,偢,82B8,5062,,q,r,h,h
,偣,82B9,5063,,a,r,a,a
,偤,82BA,5064,,y,r,v,v
,健,BDA1,5065,,j,r,w,w
,偦,82BB,5066,,x,r,l,l
,偧,82BC,5067,,z,r,r,r
,偨,82BD,5068,,c,r,i,i
,偩,82BE,5069,,f,r,f,f
,偪,82BF,506A,,b,r,h,h
,偫,82C0,506B,,z,r,r,r
,偬,D9CC,506C,,z,r,f,f
,偭,82C1,506D,,m,r,o,o
,偮,82C2,506E,,j,r,k,k
,偯,82C3,506F,,y,r,a,a
,偰,82C4,5070,,x,r,h,h
,偱,82C5,5071,,x,r,p,p
,偲,82C6,5072,,c,r,l,l
,偲,82C6,5072,,s,r,l,l
,偳,82C7,5073,,d,r,s,s
,側,82C8,5074,,c,r,b,b
,側,82C8,5074,,z,r,b,b
,偵,82C9,5075,,z,r,i,i
,偶,C5BC,5076,,o,r,r,r
,偷,CDB5,5077,,t,r,r,r
,偸,82CA,5078,,t,r,v,v
,偹,82CB,5079,,b,r,i,i
,偺,82CC,507A,,z,r,u,u
,偻,D9CD,507B,,l,r,v,v
,偼,82CD,507C,,j,r,i,i
,偽,82CE,507D,,w,r,v,v
,偾,D9C7,507E,,f,r,i,i
,偿,B3A5,507F,,c,r,v,v
,傀,BFFE,5080,,k,r,r,r
,傀,BFFE,5080,,g,r,r,r
,傁,82CF,5081,,s,r,o,o
,傂,82D0,5082,,z,r,p,p
,傂,82D0,5082,,s,r,p,p
,傃,82D1,5083,,s,r,h,h
,傄,82D2,5084,,x,r,r,r
,傅,B8B5,5085,,f,r,h,h
,傆,82D3,5086,,y,r,c,c
,傇,82D4,5087,,r,r,c,c
,傈,C0FC,5088,,l,r,u,u
,傉,82D5,5089,,n,r,c,c
,傊,82D6,508A,,y,r,k,k
,傋,82D7,508B,,j,r,h,h
,傋,82D7,508B,,g,r,h,h
,傌,82D8,508C,,m,r,m,m
,傍,B0F8,508D,,b,r,a,a
,傎,82D9,508E,,d,r,i,i
,傏,82DA,508F,,t,r,g,g
,傐,82DB,5090,,h,r,a,a
,傑,82DC,5091,,j,r,f,f
,傒,82DD,5092,,x,r,p,p
,傓,82DE,5093,,s,r,h,h
,傔,82DF,5094,,q,r,v,v
,傔,82DF,5094,,j,r,v,v
,傕,82E0,5095,,q,r,b,b
,傕,82E0,5095,,j,r,b,b
,傖,82E1,5096,,c,r,r,r
,傗,82E2,5097,,c,r,a,a
,傘,82E3,5098,,s,r,r,r
,備,82E4,5099,,b,r,c,c
,傚,82E5,509A,,x,r,a,a
,傛,82E6,509B,,r,r,b,b
,傜,82E7,509C,,y,r,p,p
,傝,82E8,509D,,t,r,r,r
,傞,82E9,509E,,s,r,v,v
,傟,82EA,509F,,y,r,v,v
,傠,82EB,50A0,,f,r,a,a
,傡,82EC,50A1,,b,r,a,a
,傢,82ED,50A2,,j,r,b,b
,傣,B4F6,50A3,,d,r,h,h
,傤,82EE,50A4,,z,r,t,t
,傥,D9CE,50A5,,t,r,v,v
,傦,82EF,50A6,,g,r,l,l
,傧,D9CF,50A7,,b,r,b,b
,储,B4A2,50A8,,c,r,a,a
,傩,D9D0,50A9,,n,r,u,u
,傪,82F0,50AA,,c,r,a,a
,傫,82F1,50AB,,l,r,l,l
,催,B4DF,50AC,,c,r,s,s
,傭,82F2,50AD,,y,r,g,g
,傮,82F3,50AE,,z,r,h,h
,傮,82F3,50AE,,c,r,h,h
,傯,82F4,50AF,,z,r,p,p
,傰,82F5,50B0,,p,r,s,s
,傱,82F6,50B1,,s,r,r,r
,傲,B0C1,50B2,,a,r,h,h
,傳,82F7,50B3,,c,r,h,h
,傳,82F7,50B3,,z,r,h,h
,傴,82F8,50B4,,y,r,h,h
,債,82F9,50B5,,z,r,h,h
,傶,82FA,50B6,,q,r,c,c
,傶,82FA,50B6,,c,r,c,c
,傷,82FB,50B7,,s,r,o,o
,傸,82FC,50B8,,c,r,o,o
,傹,82FD,50B9,,j,r,a,a
,傺,D9D1,50BA,,c,r,f,f
,傻,C9B5,50BB,,s,r,p,p
,傼,82FE,50BC,,h,r,c,c
,傽,8340,50BD,,z,r,a,a
,傾,8341,50BE,,q,r,w,w
,傿,8342,50BF,,y,r,i,i
,僀,8343,50C0,,d,r,o,o
,僁,8344,50C1,,x,r,v,v
,僂,8345,50C2,,l,r,l,l
,僃,8346,50C3,,b,r,c,c
,僄,8347,50C4,,p,r,u,u
,僄,8347,50C4,,b,r,u,u
,僅,8348,50C5,,j,r,c,c
,僆,8349,50C6,,l,r,h,h
,僇,834A,50C7,,l,r,y,y
,僈,834B,50C8,,m,r,r,r
,僉,834C,50C9,,q,r,h,h
,僊,834D,50CA,,x,r,u,u
,僋,834E,50CB,,t,r,r,r
,僌,834F,50CC,,y,r,h,h
,働,8350,50CD,,d,r,o,o
,僎,8351,50CE,,z,r,e,e
,像,CFF1,50CF,,x,r,f,f
,僐,8352,50D0,,s,r,v,v
,僑,8353,50D1,,q,r,p,p
,僒,8354,50D2,,j,r,b,b
,僓,8355,50D3,,t,r,k,k
,僔,8356,50D4,,z,r,v,v
,僕,8357,50D5,,p,r,i,i
,僖,D9D2,50D6,,x,r,t,t
,僗,8358,50D7,,l,r,h,h
,僘,8359,50D8,,c,r,v,v
,僙,835A,50D9,,g,r,c,c
,僚,C1C5,50DA,,l,r,r,r
,僛,835B,50DB,,q,r,c,c
,僜,835C,50DC,,c,r,a,a
,僜,835C,50DC,,d,r,a,a
,僝,835D,50DD,,z,r,s,s
,僝,835D,50DD,,c,r,s,s
,僞,835E,50DE,,w,r,p,p
,僟,835F,50DF,,j,r,u,u
,僠,8360,50E0,,b,r,v,v
,僡,8361,50E1,,h,r,h,h
,僢,8362,50E2,,c,r,p,p
,僣,8363,50E3,,t,r,h,h
,僣,8363,50E3,,j,r,h,h
,僤,8364,50E4,,d,r,k,k
,僥,8365,50E5,,j,r,t,t
,僥,8365,50E5,,y,r,t,t
,僦,D9D6,50E6,,j,r,a,a
,僧,C9AE,50E7,,s,r,v,v
,僨,8366,50E8,,f,r,i,i
,僩,8367,50E9,,x,r,m,m
,僪,8368,50EA,,y,r,a,a
,僫,8369,50EB,,e,r,i,i
,僫,8369,50EB,,w,r,i,i
,僬,D9D5,50EC,,j,r,r,r
,僭,D9D4,50ED,,j,r,w,w
,僮,D9D7,50EE,,t,r,a,a
,僮,D9D7,50EE,,z,r,a,a
,僯,836A,50EF,,l,r,v,v
,僰,836B,50F0,,b,h,h,h
,僱,836C,50F1,,g,r,h,h
,僲,836D,50F2,,x,r,u,u
,僳,CBDB,50F3,,s,r,u,u
,僴,836E,50F4,,x,r,m,m
,僵,BDA9,50F5,,j,r,h,h
,僶,836F,50F6,,m,r,l,l
,僷,8370,50F7,,y,r,c,c
,僸,8371,50F8,,j,r,m,m
,價,8372,50F9,,j,r,u,u
,僺,8373,50FA,,q,r,k,k
,僻,C6A7,50FB,,p,r,s,s
,僼,8374,50FC,,f,r,l,l
,僽,8375,50FD,,z,r,h,h
,僾,8376,50FE,,a,r,p,p
,僿,8377,50FF,,s,r,b,b
,儀,8378,5100,,y,r,v,v
,儁,8379,5101,,j,r,r,r
,儂,837A,5102,,n,r,l,l
,儃,837B,5103,,c,r,a,a
,儃,837B,5103,,t,r,a,a
,儃,837B,5103,,s,r,a,a
,億,837C,5104,,y,r,a,a
,儅,837D,5105,,d,r,v,v
,儆,D9D3,5106,,j,r,c,c
,儇,D9D8,5107,,x,r,m,m
,儈,837E,5108,,k,r,r,r
,儉,8380,5109,,j,r,r,r
,儊,8381,510A,,c,r,m,m
,儋,D9D9,510B,,d,r,f,f
,儌,8382,510C,,j,r,r,r
,儍,8383,510D,,s,r,v,v
,儎,8384,510E,,z,r,t,t
,儏,8385,510F,,c,r,i,i
,儐,8386,5110,,b,r,b,b
,儑,8387,5111,,a,r,r,r
,儒,C8E5,5112,,r,r,y,y
,儓,8388,5113,,t,r,t,t
,儔,8389,5114,,c,r,t,t
,儕,838A,5115,,c,r,a,a
,儖,838B,5116,,l,r,i,i
,儗,838C,5117,,n,r,f,f
,儗,838C,5117,,y,r,f,f
,儘,838D,5118,,j,r,w,w
,儙,838E,5119,,q,r,k,k
,儚,838F,511A,,m,r,c,c
,儛,8390,511B,,w,r,o,o
,儜,8391,511C,,n,r,b,b
,儝,8392,511D,,q,r,h,h
,儞,8393,511E,,n,r,o,o
,償,8394,511F,,c,r,v,v
,儠,8395,5120,,l,r,z,z
,儡,C0DC,5121,,l,r,l,l
,儢,8396,5122,,l,r,i,i
,儣,8397,5123,,k,r,g,g
,儤,8398,5124,,b,r,r,r
,儥,8399,5125,,y,r,t,t
,儦,839A,5126,,b,r,g,g
,儧,839B,5127,,z,r,h,h
,儨,839C,5128,,z,r,j,j
,儩,839D,5129,,s,r,b,b
,優,839E,512A,,y,r,o,o
,儫,839F,512B,,h,r,a,a
,儬,83A0,512C,,q,r,h,h
,儭,83A1,512D,,c,r,a,a
,儮,83A2,512E,,l,r,c,c
,儯,83A3,512F,,t,r,v,v
,儰,83A4,5130,,w,r,c,c
,儱,83A5,5131,,l,r,a,a
,儲,83A6,5132,,c,r,a,a
,儳,83A7,5133,,c,r,f,f
,儴,83A8,5134,,r,r,a,a
,儴,83A8,5134,,x,r,a,a
,儵,83A9,5135,,s,r,i,i
,儶,83AA,5136,,h,r,s,s
,儶,83AA,5136,,x,r,s,s
,儷,83AB,5137,,l,r,h,h
,儸,83AC,5138,,l,r,m,m
,儹,83AD,5139,,z,r,p,p
,儺,83AE,513A,,n,r,c,c
,儻,83AF,513B,,t,r,v,v
,儼,83B0,513C,,y,r,k,k
,儽,83B1,513D,,l,r,l,l
,儾,83B2,513E,,n,r,h,h
,儿,B6F9,513F,,e,f,,
,兀,D8A3,5140,,w,o,z,z
,允,D4CA,5141,,y,a,f,f
,兂,83B3,5142,,z,w,f,f
,元,D4AA,5143,,y,h,f,f
,兄,D0D6,5144,,x,k,f,f
,充,B3E4,5145,,c,a,a,a
,兆,D5D7,5146,,z,p,f,f
,兇,83B4,5147,,x,v,s,s
,先,CFC8,5148,,x,p,t,t
,光,B9E2,5149,,g,v,f,f
,兊,83B5,514A,,d,v,a,a
,兊,83B5,514A,,r,v,a,a
,兊,83B5,514A,,y,v,a,a
,克,BFCB,514B,,k,i,k,k
,兌,83B6,514C,,d,v,k,k
,兌,83B6,514C,,r,v,k,k
,兌,83B6,514C,,y,v,k,k
,免,C3E2,514D,,m,f,k,k
,兎,83B7,514E,,t,p,k,k
,兏,83B8,514F,,c,c,i,i
,兏,83B8,514F,,z,c,i,i
,児,83B9,5150,,e,i,r,r
,兑,B6D2,5151,,d,v,k,k
,兑,B6D2,5151,,r,v,k,k
,兑,B6D2,5151,,y,v,k,k
,兒,83BA,5152,,e,o,w,w
,兓,83BB,5153,,j,w,w,w
,兔,CDC3,5154,,t,f,k,k
,兕,D9EE,5155,,s,l,l,l
,兖,D9F0,5156,,y,a,v,v
,兗,83BC,5157,,y,a,v,v
,兘,83BD,5158,,s,h,a,a
,兙,83BE,5159,,s,i,k,k
,党,B5B3,515A,,d,v,b,b
,兛,83BF,515B,,q,i,o,o
,兜,B6B5,515C,,d,r,f,f
,兝,83C0,515D,,g,i,v,v
,兞,83C1,515E,,h,i,o,o
,兟,83C2,515F,,s,p,p,p
,兠,83C3,5160,,d,r,i,i
,兡,83C4,5161,,b,i,h,h
,兢,BEA4,5162,,j,i,i,i
,兣,83C5,5163,,g,i,c,c
,兤,83C6,5164,,h,v,g,g
,入,C8EB,5165,,r,v,,
,兦,83C7,5166,,w,v,z,z
,內,83C8,5167,,n,l,v,v
,全,C8AB,5168,,q,r,w,w
,兩,83C9,5169,,l,h,l,l
,兪,83CA,516A,,y,v,h,h
,兪,83CA,516A,,s,v,h,h
,八,B0CB,516B,,b,v,,
,公,B9AB,516C,,g,v,a,a
,六,C1F9,516D,,l,a,v,v
,兮,D9E2,516E,,x,v,w,w
,兯,83CB,516F,,h,v,l,l
,兰,C0BC,5170,,l,v,h,h
,共,B9B2,5171,,g,c,o,o
,兲,83CC,5172,,t,w,v,v
,关,B9D8,5173,,g,v,r,r
,兴,D0CB,5174,,x,v,v,v
,兵,B1F8,5175,,b,o,g,g
,其,C6E4,5176,,q,c,h,h
,其,C6E4,5176,,j,c,h,h
,具,BEDF,5177,,j,q,v,v
,典,B5E4,5178,,d,l,c,c
,兹,D7C8,5179,,z,v,u,u
,兹,D7C8,5179,,c,v,u,u
,兺,83CD,517A,,b,v,k,k
,养,D1F8,517B,,y,v,h,h
,兼,BCE6,517C,,j,v,w,w
,兽,CADE,517D,,s,v,l,l
,兾,83CE,517E,,j,v,l,l
,兿,83CF,517F,,y,v,t,t
,冀,BCBD,5180,,j,i,f,f
,冁,D9E6,5181,,c,v,s,s
,冂,D8E7,5182,,j,l,,
,冃,83D0,5183,,m,l,h,h
,冄,83D1,5184,,r,l,h,h
,内,C4DA,5185,,n,l,r,r
,円,83D2,5186,,y,l,i,i
,冇,83D3,5187,,m,o,l,l
,冈,B8D4,5188,,g,l,v,v
,冉,C8BD,5189,,r,l,i,i
,冊,83D4,518A,,c,l,c,c
,冋,83D5,518B,,j,l,k,k
,册,B2E1,518C,,c,f,f,f
,再,D4D9,518D,,z,h,l,l
,冎,83D6,518E,,g,l,z,z
,冏,83D7,518F,,j,l,v,v
,冐,83D8,5190,,m,r,y,y
,冑,83D9,5191,,z,l,t,t
,冒,C3B0,5192,,m,r,m,m
,冓,83DA,5193,,g,h,c,c
,冔,83DB,5194,,x,r,k,k
,冕,C3E1,5195,,m,r,f,f
,冖,DAA2,5196,,m,b,,
,冗,C8DF,5197,,r,b,f,f
,冘,83DC,5198,,y,b,f,f
,写,D0B4,5199,,x,b,w,w
,冚,83DD,519A,,k,b,s,s
,军,BEFC,519B,,j,b,w,w
,农,C5A9,519C,,n,b,f,f
,冝,83DE,519D,,y,b,q,q
,冞,83DF,519E,,s,b,v,v
,冟,83E0,519F,,s,b,r,r
,冠,B9DA,51A0,,g,b,h,h
,冡,83E1,51A1,,m,b,h,h
,冢,DAA3,51A2,,z,b,o,o
,冣,83E2,51A3,,z,b,e,e
,冤,D4A9,51A4,,y,b,f,f
,冥,DAA4,51A5,,m,b,r,r
,冦,83E3,51A6,,k,b,h,h
,冧,83E4,51A7,,l,b,m,m
,冨,83E5,51A8,,f,b,h,h
,冩,83E6,51A9,,x,b,o,o
,冪,83E7,51AA,,m,b,c,c
,冫,D9FB,51AB,,b,d,,
,冬,B6AC,51AC,,d,u,d,d
,冭,83E8,51AD,,t,r,d,d
,冮,83E9,51AE,,g,d,g,g
,冯,B7EB,51AF,,f,d,m,m
,冯,B7EB,51AF,,p,d,m,m
,冰,B1F9,51B0,,b,d,s,s
,冱,D9FC,51B1,,h,d,w,w
,冲,B3E5,51B2,,c,d,k,k
,决,BEF6,51B3,,j,d,z,z
,冴,83EA,51B4,,y,d,w,w
,况,BFF6,51B5,,k,d,k,k
,冶,D2B1,51B6,,y,d,a,a
,冷,C0E4,51B7,,l,d,r,r
,冸,83EB,51B8,,p,d,v,v
,冹,83EC,51B9,,f,d,o,o
,冺,83ED,51BA,,m,d,e,e
,冻,B6B3,51BB,,d,d,w,w
,冼,D9FE,51BC,,x,d,p,p
,冽,D9FD,51BD,,l,d,o,o
,冾,83EE,51BE,,q,d,r,r
,冿,83EF,51BF,,j,d,w,w
,净,BEBB,51C0,,j,d,f,f
,净,BEBB,51C0,,c,d,f,f
,凁,83F0,51C1,,s,d,h,h
,凂,83F1,51C2,,m,d,f,f
,凃,83F2,51C3,,t,d,r,r
,凄,C6E0,51C4,,q,d,w,w
,凅,83F3,51C5,,g,d,l,l
,准,D7BC,51C6,,z,d,r,r
,凇,DAA1,51C7,,s,d,m,m
,凈,83F4,51C8,,j,d,p,p
,凈,83F4,51C8,,c,d,p,p
,凉,C1B9,51C9,,l,d,a,a
,凊,83F5,51CA,,q,d,h,h
,凋,B5F2,51CB,,d,d,f,f
,凌,C1E8,51CC,,l,d,t,t
,凍,83F6,51CD,,d,d,h,h
,凎,83F7,51CE,,g,d,j,j
,减,BCF5,51CF,,j,d,c,c
,凐,83F8,51D0,,y,d,u,u
,凑,B4D5,51D1,,c,d,h,h
,凒,83F9,51D2,,a,d,s,s
,凓,83FA,51D3,,l,d,u,u
,凔,83FB,51D4,,c,d,r,r
,凕,83FC,51D5,,m,d,b,b
,凖,83FD,51D6,,z,d,r,r
,凗,83FE,51D7,,c,d,s,s
,凘,8440,51D8,,s,d,c,c
,凙,8441,51D9,,d,d,m,m
,凚,8442,51DA,,j,d,m,m
,凛,C1DD,51DB,,l,d,a,a
,凜,8443,51DC,,l,d,a,a
,凝,C4FD,51DD,,n,d,f,f
,凞,8444,51DE,,x,d,o,o
,凟,8445,51DF,,d,d,t,t
,几,BCB8,51E0,,j,f,,
,凡,B7B2,51E1,,f,f,d,d
,凢,8446,51E2,,f,p,z,z
,凣,8447,51E3,,f,o,z,z
,凤,B7EF,51E4,,f,f,u,u
,凥,8448,51E5,,j,s,f,f
,処,8449,51E6,,c,u,f,f
,凧,844A,51E7,,z,f,j,j
,凨,844B,51E8,,f,f,h,h
,凩,844C,51E9,,m,f,m,m
,凪,844D,51EA,,z,f,i,i
,凫,D9EC,51EB,,f,n,f,f
,凬,844E,51EC,,f,f,h,h
,凭,C6BE,51ED,,p,r,p,p
,凮,844F,51EE,,f,f,h,h
,凯,BFAD,51EF,,k,s,e,e
,凰,BBCB,51F0,,h,f,r,r
,凱,8450,51F1,,k,s,h,h
,凲,8451,51F2,,g,f,v,v
,凳,B5CA,51F3,,d,a,p,p
,凴,8452,51F4,,p,d,m,m
,凵,DBC9,51F5,,k,s,,
,凵,DBC9,51F5,,q,s,,
,凶,D0D7,51F6,,x,v,s,s
,凷,8453,51F7,,k,t,s,s
,凸,CDB9,51F8,,t,i,l,l
,凹,B0BC,51F9,,a,l,l,l
,凹,B0BC,51F9,,w,l,l,l
,出,B3F6,51FA,,c,s,s,s
,击,BBF7,51FB,,j,h,s,s
,凼,DBCA,51FC,,d,s,s,s
,函,BAAF,51FD,,h,l,s,s
,凾,8454,51FE,,h,l,k,k
,凿,D4E4,51FF,,z,i,v,v
,刀,B5B6,5200,,d,d,,
,刁,B5F3,5201,,d,w,,
,刂,D8D6,5202,,d,d,,
,刃,C8D0,5203,,r,d,d,d
,刄,8455,5204,,r,d,d,d
,刅,8456,5205,,c,d,d,d
,分,B7D6,5206,,f,v,d,d
,切,C7D0,5207,,q,w,d,d
,刈,D8D7,5208,,y,v,d,d
,刉,8457,5209,,j,o,d,d
,刊,BFAF,520A,,k,h,d,d
,刋,8458,520B,,q,o,d,d
,刌,8459,520C,,c,c,d,d
,刍,DBBB,520D,,c,f,w,w
,刎,D8D8,520E,,w,f,p,p
,刏,845A,520F,,j,o,w,w
,刐,845B,5210,,d,f,a,a
,刑,D0CC,5211,,x,h,o,o
,划,BBAE,5212,,h,w,v,v
,刓,845C,5213,,w,h,f,f
,刔,845D,5214,,j,z,r,r
,刕,845E,5215,,l,d,d,d
,刖,EBBE,5216,,y,y,d,d
,列,C1D0,5217,,l,o,a,a
,刘,C1F5,5218,,l,a,v,v
,则,D4F2,5219,,z,b,d,d
,刚,B8D5,521A,,g,l,v,v
,创,B4B4,521B,,c,r,e,e
,刜,845F,521C,,f,e,f,f
,初,B3F5,521D,,c,y,d,d
